step	#1-F2/Amplitude	#1-F2/Position	#1-F2/Width	#2-F2/Amplitude	#2-F2/Position	#2-F2/Width	#3-F2/Amplitude	#3-F2/Position	#3-F2/Width	#4-F2/Amplitude	#4-F2/Position	#4-F2/Width	#5-F2/Amplitude	#5-F2/Position	#5-F2/Width	#6-F2/Amplitude	#6-F2/Position	#6-F2/Width	#7-F2/Amplitude	#7-F2/Position	#7-F2/Width	#8-F2/Amplitude	#8-F2/Position	#8-F2/Width	#9-F2/Amplitude	#9-F2/Position	#9-F2/Width	#10-F2/Amplitude	#10-F2/Position	#10-F2/Width	
1	39.69000705	5089.000018	107.751978	82.86892593	3616.258401	379.6227421	84.97357945	2946.614189	600.9586181	266.1849943	753.2565109	406.0460543	144.5548601	-1212.301544	226.6639315	54.43346166	-1441.932155	236.6993593	36.55165485	-686.1156985	163.6651906	18.07144268	4413.11837	170.9613772	18.59460132	1190.359164	168.4301726	26.77432063	318.3695732	290.904882	
2	41.77946069	5086.356369	115.0661221	82.22937229	3616.658431	379.9632498	85.2391525	2949.323118	603.0789459	267.6909366	752.3969585	398.5289164	144.9830976	-1210.331145	219.0009426	57.46547259	-1439.824776	237.5211057	35.79519928	-681.2628228	163.4573281	17.6853803	4406.606135	164.91743	20.06522923	1179.260511	209.9341476	27.89967092	327.2612618	276.6345185	
3	39.575889	5081.493493	116.3551161	82.86147935	3617.913746	390.8029767	85.32312479	2942.92155	576.489035	266.7974358	752.5594322	403.7992214	146.3656533	-1213.01863	227.2221726	55.93377992	-1447.838246	220.1732858	35.97863052	-682.3067096	158.5173003	18.09120055	4417.954967	166.9384502	19.62638294	1181.015068	206.9663422	25.91641699	321.6621335	302.2856943	
4	39.36748438	5083.039345	115.8096825	83.66903035	3620.89476	382.2146526	86.05363836	2947.684288	584.9171719	263.7549902	754.3732543	394.5112994	144.8911056	-1209.459202	221.3057438	57.78524587	-1443.690276	233.3120124	37.38878417	-684.3162768	151.5734953	17.42517101	4425.08173	169.9847746	19.6954249	1181.299985	224.6589011	26.13328806	336.9088234	454.3417774	
5	41.08056538	5084.020842	113.0159277	82.06211342	3618.558949	382.0647356	85.62896757	2950.42125	599.6421066	267.2831551	751.9747769	402.1605682	144.5664922	-1211.745495	221.0924037	56.83201948	-1442.2278	239.9869353	36.49345681	-682.2160335	169.6293175	18.07110712	4413.626144	162.2771095	20.32190298	1179.818078	214.3656367	27.74905355	324.6936418	250.9699372	
6	39.66975386	5087.415822	112.1171237	81.92874119	3615.066264	390.9141912	86.10316999	2948.544939	593.9178734	267.0724505	752.992274	398.3095962	146.1291399	-1213.210519	226.4875612	55.47766018	-1450.346239	230.1984874	36.74045716	-682.8414618	155.5357868	20.04985618	4418.957258	150.7323761	18.81062234	1182.143446	224.0972389	29.0900021	324.4086943	293.7427051	
7	39.99426521	5084.39758	118.3848908	83.44786535	3620.418773	374.1027757	86.70319432	2950.750221	590.924381	266.530127	752.9974148	394.8373781	146.6024427	-1214.670925	227.4804707	54.84581029	-1449.501574	225.6645497	36.58350188	-685.1570318	172.4548956	16.58394079	4410.018011	166.9791557	21.07842532	1191.250322	220.0531354	26.57360546	328.7979887	359.1594262	
8	40.70151303	5085.056225	115.8391227	82.75925294	3618.934283	381.6796622	85.60983534	2951.225557	596.9611585	267.051236	753.5526907	402.5723889	143.6165045	-1210.575374	218.6333211	55.77104245	-1439.942505	257.1501338	34.80306932	-680.5900852	166.9359239	17.53583936	4405.103049	159.433395	18.96199443	1188.046791	170.1594909	25.72143602	323.7146031	329.7754915	
9	39.14466414	5085.538875	117.9580369	83.53573277	3617.39542	382.4832751	85.32678806	2952.383499	595.4969409	267.0713966	752.1265496	406.4050593	146.1816812	-1212.669651	226.7198595	54.93694706	-1447.83898	227.8152889	35.5702022	-679.316582	163.115438	17.98146593	4406.601586	161.2582888	18.8430709	1182.683776	197.351207	25.82313615	324.2419657	256.7285995	
10	40.00244411	5084.312972	115.3907917	83.83112067	3619.70465	375.368404	84.70256678	2950.230525	606.7495213	266.8077625	752.4869445	404.5421465	144.747131	-1211.478267	223.6165054	55.98704069	-1445.826097	237.2363204	36.88921183	-683.0255708	158.9122247	16.63070329	4410.615394	168.6101912	19.18531646	1183.502522	203.2978551	27.9803398	314.6802658	274.3427033	
step	#1-F2/Amplitude	#1-F2/Position	#1-F2/Width	#2-F2/Amplitude	#2-F2/Position	#2-F2/Width	#3-F2/Amplitude	#3-F2/Position	#3-F2/Width	#4-F2/Amplitude	#4-F2/Position	#4-F2/Width	#5-F2/Amplitude	#5-F2/Position	#5-F2/Width	#6-F2/Amplitude	#6-F2/Position	#6-F2/Width	#7-F2/Amplitude	#7-F2/Position	#7-F2/Width	#8-F2/Amplitude	#8-F2/Position	#8-F2/Width	#9-F2/Amplitude	#9-F2/Position	#9-F2/Width	#10-F2/Amplitude	#10-F2/Position	#10-F2/Width	
1	39.69000705	5089.000018	107.751978	82.86892593	3616.258401	379.6227421	84.97357945	2946.614189	600.9586181	266.1849943	753.2565109	406.0460543	144.5548601	-1212.301544	226.6639315	54.43346166	-1441.932155	236.6993593	36.55165485	-686.1156985	163.6651906	18.07144268	4413.11837	170.9613772	18.59460132	1190.359164	168.4301726	26.77432063	318.3695732	290.904882	
2	41.77946069	5086.356369	115.0661221	82.22937229	3616.658431	379.9632498	85.2391525	2949.323118	603.0789459	267.6909366	752.3969585	398.5289164	144.9830976	-1210.331145	219.0009426	57.46547259	-1439.824776	237.5211057	35.79519928	-681.2628228	163.4573281	17.6853803	4406.606135	164.91743	20.06522923	1179.260511	209.9341476	27.89967092	327.2612618	276.6345185	
3	39.575889	5081.493493	116.3551161	82.86147935	3617.913746	390.8029767	85.32312479	2942.92155	576.489035	266.7974358	752.5594322	403.7992214	146.3656533	-1213.01863	227.2221726	55.93377992	-1447.838246	220.1732858	35.97863052	-682.3067096	158.5173003	18.09120055	4417.954967	166.9384502	19.62638294	1181.015068	206.9663422	25.91641699	321.6621335	302.2856943	
4	39.36748438	5083.039345	115.8096825	83.66903035	3620.89476	382.2146526	86.05363836	2947.684288	584.9171719	263.7549902	754.3732543	394.5112994	144.8911056	-1209.459202	221.3057438	57.78524587	-1443.690276	233.3120124	37.38878417	-684.3162768	151.5734953	17.42517101	4425.08173	169.9847746	19.6954249	1181.299985	224.6589011	26.13328806	336.9088234	454.3417774	
5	41.08056538	5084.020842	113.0159277	82.06211342	3618.558949	382.0647356	85.62896757	2950.42125	599.6421066	267.2831551	751.9747769	402.1605682	144.5664922	-1211.745495	221.0924037	56.83201948	-1442.2278	239.9869353	36.49345681	-682.2160335	169.6293175	18.07110712	4413.626144	162.2771095	20.32190298	1179.818078	214.3656367	27.74905355	324.6936418	250.9699372	
6	39.66975386	5087.415822	112.1171237	81.92874119	3615.066264	390.9141912	86.10316999	2948.544939	593.9178734	267.0724505	752.992274	398.3095962	146.1291399	-1213.210519	226.4875612	55.47766018	-1450.346239	230.1984874	36.74045716	-682.8414618	155.5357868	20.04985618	4418.957258	150.7323761	18.81062234	1182.143446	224.0972389	29.0900021	324.4086943	293.7427051	
7	39.99426521	5084.39758	118.3848908	83.44786535	3620.418773	374.1027757	86.70319432	2950.750221	590.924381	266.530127	752.9974148	394.8373781	146.6024427	-1214.670925	227.4804707	54.84581029	-1449.501574	225.6645497	36.58350188	-685.1570318	172.4548956	16.58394079	4410.018011	166.9791557	21.07842532	1191.250322	220.0531354	26.57360546	328.7979887	359.1594262	
8	40.70151303	5085.056225	115.8391227	82.75925294	3618.934283	381.6796622	85.60983534	2951.225557	596.9611585	267.051236	753.5526907	402.5723889	143.6165045	-1210.575374	218.6333211	55.77104245	-1439.942505	257.1501338	34.80306932	-680.5900852	166.9359239	17.53583936	4405.103049	159.433395	18.96199443	1188.046791	170.1594909	25.72143602	323.7146031	329.7754915	
9	39.14466414	5085.538875	117.9580369	83.53573277	3617.39542	382.4832751	85.32678806	2952.383499	595.4969409	267.0713966	752.1265496	406.4050593	146.1816812	-1212.669651	226.7198595	54.93694706	-1447.83898	227.8152889	35.5702022	-679.316582	163.115438	17.98146593	4406.601586	161.2582888	18.8430709	1182.683776	197.351207	25.82313615	324.2419657	256.7285995	
10	40.00244411	5084.312972	115.3907917	83.83112067	3619.70465	375.368404	84.70256678	2950.230525	606.7495213	266.8077625	752.4869445	404.5421465	144.747131	-1211.478267	223.6165054	55.98704069	-1445.826097	237.2363204	36.88921183	-683.0255708	158.9122247	16.63070329	4410.615394	168.6101912	19.18531646	1183.502522	203.2978551	27.9803398	314.6802658	274.3427033	
11	42.39871397	5085.467726	108.8247658	84.55662201	3618.269937	372.9071378	85.96209506	2951.319391	592.9807324	268.2896595	751.7035694	401.0682766	146.9918344	-1214.902736	231.1261595	54.51678279	-1451.421418	214.0256656	38.08854521	-682.714771	165.3591768	17.61470488	4406.042654	188.5878667	18.8831916	1187.459313	230.2432863	28.3125062	318.8159333	246.9198797	
12	39.63276126	5088.159331	110.190103	82.02907321	3617.327152	378.3196785	85.58977336	2952.25268	604.5807903	265.6551448	753.8791283	385.9369295	145.7219949	-1213.04649	228.9414365	53.78248259	-1442.981995	228.8528729	37.74584014	-682.8623903	142.3632977	18.82688238	4410.960169	167.8393223	20.39271143	1176.971473	261.9959625	27.80958406	341.9796434	418.5865946	
13	41.1529527	5088.417675	108.9698569	81.60087582	3619.071752	383.7576056	85.57424017	2951.340426	603.6490082	265.5772523	753.1394546	389.4713004	146.9135247	-1213.218321	231.3164399	54.41333143	-1448.80709	210.9307906	39.03387738	-682.7086795	135.294913	18.54458838	4411.656708	158.4874549	21.28444521	1162.262408	236.5643659	27.02626695	333.8183298	413.7950948	
14	39.92332704	5083.793483	115.4869338	83.57078985	3620.994544	379.8082425	86.58709893	2950.11157	589.1931209	266.9384071	752.2867685	402.0069269	145.6370449	-1212.146895	221.9875583	55.61357858	-1445.801569	236.3335286	35.96550368	-681.8010999	173.2776396	17.42197184	4406.134701	168.6988834	19.60514845	1188.733636	211.0314204	29.26952187	327.970935	264.0789051	
15	41.32020616	5082.924239	110.8907793	82.5344766	3615.76507	384.9608528	85.49988854	2951.001601	590.7583909	267.5513347	751.537817	404.8874519	145.8407614	-1212.502997	228.9049696	55.61113306	-1447.655386	232.581042	37.81549763	-680.0025518	154.2463314	17.2205517	4413.914986	171.7034737	20.65838182	1180.579084	191.2311431	27.39908776	318.5886664	245.057905	
