step	#1-F2/Amplitude	#1-F2/Position	#1-F2/Width	#1-F2/dCS	#1-F2/etaCS	
1	164.2065083	1224.37515	723.2948226	14348.67099	0.4208049383	
2	164.2606945	1222.322999	728.6277121	14324.16464	0.423517883	
3	163.863917	1221.164507	726.2493949	14365.08771	0.4212393516	
4	165.9516176	1221.450799	721.4655022	14341.60912	0.4329851761	
5	163.8891131	1224.765507	725.8356189	14323.58594	0.4216210064	
6	166.1065052	1222.823332	716.5552056	14329.25986	0.4188701573	
7	165.1994891	1223.438908	722.0445766	14317.10443	0.4230079544	
8	164.5757652	1224.049305	723.7325956	14353.18119	0.4175161497	
9	165.2610897	1220.882799	722.3303718	14336.38399	0.4242024961	
10	163.0046596	1222.014118	732.8750361	14411.41141	0.4172903705	
11	165.6816451	1222.532557	717.145731	14329.86511	0.4228688189	
12	163.6010788	1223.490374	729.3475936	14352.04056	0.419845919	
13	166.2830598	1222.893727	720.9374272	14369.05964	0.4236748955	
14	165.048443	1220.799247	724.0228838	14356.67299	0.4226186668	
15	164.0637889	1222.387052	724.4747515	14365.75244	0.4160918996	
16	166.351018	1222.692176	717.848787	14310.36626	0.4305333343	
17	164.4523781	1221.367169	727.2515059	14325.66778	0.4215552155	
18	165.802735	1223.385235	718.9060578	14315.2362	0.4222509584	
19	165.8593952	1221.398063	721.6442365	14364.46435	0.4264288261	
20	164.028085	1223.459386	726.7435813	14329.02144	0.4169432689	
21	164.1370092	1220.570355	725.0175441	14347.44337	0.4181684172	
22	166.0589627	1221.375246	724.3301951	14360.53848	0.4267319672	
23	164.9081885	1220.181706	721.3731661	14320.86915	0.4155665711	
24	164.2646743	1223.434422	722.0078387	14334.26382	0.4199958031	
25	164.8299026	1221.802942	727.2254365	14348.44766	0.4270426459	
26	165.8065765	1223.545071	714.6430635	14379.5009	0.419485577	
27	165.8743983	1222.52871	716.8340044	14370.48781	0.4208958191	
28	165.5989486	1222.045157	719.951032	14311.36682	0.4276985433	
29	164.7233441	1222.720493	718.8700957	14335.59095	0.4246982454	
30	163.3050665	1220.73493	731.4776394	14338.58588	0.4193588086	
31	166.6758149	1223.464929	716.9048427	14336.62016	0.4292504577	
32	165.6582784	1224.540023	716.9765156	14323.05795	0.4253439232	
33	164.7078591	1223.629674	724.0163658	14315.04928	0.4280159119	
34	164.2353826	1221.557413	723.9246612	14399.00239	0.4207748255	
35	164.1874158	1222.169423	723.7385756	14274.12053	0.4182128446	
36	165.2904695	1222.300938	726.9764422	14401.00286	0.4267917602	
37	165.2503935	1221.385572	722.4904783	14319.63895	0.4226059213	
38	164.8477302	1224.86373	725.657705	14271.42819	0.4283607831	
39	166.2684288	1221.738316	718.4406724	14351.77888	0.4214042743	
40	164.3575573	1220.799467	729.6402423	14283.37293	0.4284165968	
41	164.3773828	1222.677373	723.4893649	14337.5566	0.4218367766	
42	165.1094013	1222.470163	723.1190617	14326.03334	0.4269526443	
43	164.9573491	1221.49169	728.8104598	14335.38346	0.4249101686	
44	166.4027847	1224.469375	719.7004863	14354.04003	0.4226121907	
45	165.8559281	1220.26	724.7335016	14334.33899	0.434108844	
46	164.3422403	1219.346158	724.9015244	14337.0792	0.4243870478	
47	166.0304506	1222.231177	714.3659487	14365.85337	0.416913387	
48	164.2186637	1221.104655	722.7021471	14349.5669	0.4225682978	
49	164.884779	1226.102399	725.3117996	14316.57903	0.4254685751	
50	165.422581	1222.819923	728.8873881	14329.61067	0.4319180787	
51	166.5595098	1222.886297	716.5149159	14322.26438	0.4331159095	
52	164.4332711	1221.777421	728.8418588	14313.7075	0.4278093736	
53	164.426485	1222.036418	728.2486193	14341.90495	0.4269228475	
54	164.5209636	1221.548618	719.061184	14343.86009	0.4225997296	
55	165.4830526	1220.955211	724.5069031	14357.34295	0.4327838188	
56	166.0960555	1223.088879	718.8929762	14334.48698	0.4270685692	
57	164.5790437	1223.473401	719.3031834	14311.27679	0.4092266217	
58	164.2111494	1223.363794	724.5245395	14324.7563	0.4192829391	
59	165.0511349	1222.808783	722.7398988	14314.11112	0.4257384622	
60	164.5906441	1221.100539	725.5788882	14301.38527	0.427809913	
61	165.2772505	1222.652064	724.2321256	14325.89085	0.4268981775	
62	164.7546306	1220.249029	724.8085521	14369.64173	0.4178053443	
63	163.6257094	1221.423244	725.3831758	14333.32432	0.417493591	
64	164.539927	1225.536581	722.527991	14411.85793	0.4188380692	
65	164.9973103	1223.029662	727.3810448	14334.84361	0.4282832485	
66	165.8941125	1222.061995	717.865665	14364.00881	0.4241954217	
67	164.569884	1220.1413	725.2031349	14351.77986	0.4217002246	
68	164.1826588	1223.51226	727.3626083	14348.58535	0.4215961577	
69	164.2944278	1220.826188	725.7558285	14275.82396	0.4218077134	
70	164.8004116	1219.151809	721.6201008	14264.24874	0.4233675522	
71	163.612168	1222.421438	730.1391548	14327.90101	0.4203584771	
72	165.7048856	1222.160463	718.7666871	14304.07647	0.4249532863	
73	165.037114	1222.416196	726.1014793	14369.40876	0.4241506432	
74	163.6627225	1221.547212	723.8223644	14354.01015	0.419589212	
75	165.1193613	1225.785918	721.5252552	14295.19096	0.4259300472	
76	165.5452421	1223.212194	718.6174716	14318.21604	0.4231396142	
77	164.4143762	1222.778323	720.8454068	14349.71248	0.4165382462	
78	165.4972516	1220.318744	724.9746089	14327.71254	0.4227049767	
79	164.4866155	1223.514408	724.8674833	14290.3734	0.4236977268	
80	165.8019659	1219.361892	717.9281372	14313.66812	0.4205479109	
81	165.662406	1219.915853	719.1225808	14304.73345	0.4195560566	
82	165.8957535	1222.278172	719.1635936	14325.17949	0.4304908359	
83	164.6991566	1221.477629	725.3145349	14318.76399	0.4217511747	
84	165.7123394	1224.215631	719.1006191	14371.44428	0.4263563274	
85	165.2751707	1223.051382	718.7077324	14350.48526	0.4234922959	
86	164.1752774	1221.536198	726.4672678	14350.37144	0.4161802829	
87	165.0581639	1224.540951	729.8351712	14295.38736	0.4314509626	
88	165.0244667	1220.116841	722.4639305	14328.83759	0.424821046	
89	164.7063355	1223.852781	724.7464576	14338.78552	0.4250729497	
90	166.0898	1221.671648	719.9481358	14330.988	0.4303627975	
91	162.9802516	1220.949811	724.3129482	14355.94796	0.4120371777	
92	165.0307068	1222.011787	724.0490828	14268.50071	0.4201085163	
93	163.9930544	1227.15319	725.08092	14304.75065	0.4138675132	
94	165.9670085	1221.647577	723.1981049	14313.1258	0.427765456	
95	162.0206634	1221.467294	731.0161223	14366.95862	0.4084311997	
96	165.1496591	1220.436068	724.4907493	14320.49755	0.4280768315	
97	162.9056934	1224.325811	728.3463582	14313.85582	0.4229858048	
98	164.8766456	1224.405252	721.7559839	14325.2682	0.4237921102	
99	163.9584301	1221.502628	727.9085765	14381.59334	0.4153578273	
100	165.9470785	1224.195832	717.1364776	14365.8953	0.4217373326	
